id,name,description,ministry,scheme_type,category,target_group,business_type,sector,state,target_gender,min_age,max_age,rural_only,income_limit,min_project_cost,max_project_cost,loan_percentage,min_loan_amount,max_loan_amount,beneficiary_contribution_percentage,subsidy_percentage,max_subsidy,interest_rate,tenure_years,moratorium_months,repayment_frequency,collateral_required,new_business_only,existing_business_allowed,benefit,eligibility_text,documents_required,application_url,status,last_verified
1,"PM MUDRA - Shishu","Micro-credit for small income-generating businesses requiring loans up to Rs. 50,000.","Ministry of Finance",loan,"Direct Financing","Micro entrepreneurs","Manufacturing, Trading, Services","Micro Enterprise","All India",All,NULL,NULL,0,NULL,NULL,50000.00,NULL,NULL,50000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,"Collateral-free institutional credit up to Rs. 50,000.","Available to eligible micro enterprises engaged in income-generating activities.","KYC documents, business documents and documents required by the lending institution.",https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,active,2026-09-02
2,"PM MUDRA - Kishore","Credit support for micro enterprises requiring more than Rs. 50,000 and up to Rs. 5 lakh.","Ministry of Finance",loan,"Direct Financing","Micro entrepreneurs","Manufacturing, Trading, Services","Micro Enterprise","All India",All,NULL,NULL,0,NULL,50000.01,500000.00,NULL,50000.01,500000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,"Collateral-free institutional credit above Rs. 50,000 and up to Rs. 5 lakh.","Available to eligible micro enterprises engaged in income-generating activities.","KYC documents, business documents and documents required by the lending institution.",https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,active,2026-09-02
3,"PM MUDRA - Tarun","Credit support for micro enterprises requiring more than Rs. 5 lakh and up to Rs. 10 lakh.","Ministry of Finance",loan,"Direct Financing","Micro entrepreneurs","Manufacturing, Trading, Services","Micro Enterprise","All India",All,NULL,NULL,0,NULL,500000.01,1000000.00,NULL,500000.01,1000000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,"Collateral-free institutional credit above Rs. 5 lakh and up to Rs. 10 lakh.","Available to eligible micro enterprises engaged in income-generating activities.","KYC documents, business documents and documents required by the lending institution.",https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,active,2026-09-02
4,"PM MUDRA - Tarun Plus","Credit support above Rs. 10 lakh and up to Rs. 20 lakh for eligible entrepreneurs who have successfully repaid a previous Tarun-category loan.","Ministry of Finance",loan,"Direct Financing","Existing micro entrepreneurs","Manufacturing, Trading, Services","Micro Enterprise","All India",All,NULL,NULL,0,NULL,1000000.01,2000000.00,NULL,1000000.01,2000000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,"Collateral-free credit above Rs. 10 lakh and up to Rs. 20 lakh.","Applicant must have previously availed and successfully repaid a Tarun-category MUDRA loan.","KYC documents, previous loan repayment records and business documents.",https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,active,2026-09-02
5,"Prime Minister Employment Generation Programme (PMEGP)","Credit-linked subsidy programme for setting up new micro enterprises in the non-farm sector.","Ministry of Micro, Small & Medium Enterprises","loan + subsidy","Direct Financing","New entrepreneurs","Manufacturing, Services","Micro Enterprise","All India",All,18,NULL,0,NULL,NULL,5000000.00,NULL,NULL,NULL,NULL,15.00,NULL,NULL,NULL,NULL,NULL,0,1,0,"Credit-linked margin money subsidy ranging from 15% to 35% depending on applicant category and location.","Individual applicants must be above 18 years. New project assistance has no income ceiling.","KYC documents, project report, educational qualification documents where applicable and bank/implementing-agency documents.",https://common-pmegp.msme.gov.in/,active,2026-09-02
6,"PMEGP 2nd Loan for Upgradation","Financial support for upgrading and expanding eligible existing PMEGP units.","Ministry of Micro, Small & Medium Enterprises","loan + subsidy","Existing Business Growth","Existing entrepreneurs","Manufacturing, Services","Micro Enterprise","All India",All,NULL,NULL,0,NULL,NULL,10000000.00,NULL,NULL,NULL,NULL,15.00,NULL,NULL,NULL,NULL,NULL,0,0,1,"Margin money subsidy for eligible expansion and upgradation of existing units.","Existing units must satisfy the applicable performance and repayment conditions.","Previous loan records, KYC, project report, financial records and bank documents.",https://common-pmegp.msme.gov.in/,active,2026-09-02
7,"PM Vishwakarma","Support programme for traditional artisans and craftspeople working with their hands and tools in identified traditional trades.","Ministry of Micro, Small & Medium Enterprises","loan + training + support","Artisan Support","Traditional artisans and craftspeople","Traditional Trades","Artisan Enterprise","All India",All,18,NULL,0,NULL,NULL,300000.00,NULL,NULL,300000.00,NULL,NULL,15000.00,5.00,NULL,NULL,NULL,0,0,1,"Enterprise loans up to Rs. 3 lakh in two tranches, toolkit incentive, training, digital incentives and marketing support.","Available to eligible artisans and craftspeople working in the identified traditional trades.","KYC documents, beneficiary verification and trade-related documents required under the scheme.",https://www.pib.gov.in/PressReleasePage.aspx?PRID=1987716,active,2026-09-02
8,"PM SVANidhi","Collateral-free working capital support for eligible street vendors through progressive loan tranches.","Ministry of Housing and Urban Affairs","working capital loan","Direct Financing","Street vendors","Street Vending","Informal Micro Enterprise","All India",All,NULL,NULL,0,NULL,NULL,50000.00,NULL,15000.00,50000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,"Working capital loans through progressive tranches of Rs. 15,000, Rs. 25,000 and Rs. 50,000.","Available to eligible street vendors under the PM SVANidhi framework.","Vendor identification, KYC documents and documents required by the implementing authority/lender.",https://pmsvanidhi.mohua.gov.in/,active,2026-09-02
9,"NSFDC Micro Finance Scheme (MFS)","Concessional micro-credit for income-generating activities for eligible Scheduled Caste beneficiaries.","Ministry of Social Justice & Empowerment","concessional loan","NSFDC Financing","Scheduled Caste entrepreneurs","Agriculture, Allied, Manufacturing, Services, Trading","Income Generating Activity","All India",All,NULL,NULL,0,500000.00,NULL,140000.00,90.00,NULL,125000.00,10.00,NULL,NULL,6.50,3.00,3,quarterly,0,0,1,"Financing up to 90% of project cost with a maximum loan of Rs. 1.25 lakh at 6.5% beneficiary interest.","Applicant must belong to the Scheduled Caste community and satisfy the applicable family-income ceiling.","Caste certificate, income proof, KYC documents and documents required by the channelizing agency.",https://nsfdc.nic.in/faqs,active,2026-09-02
10,"NSFDC Aajeevika Micro-Finance Yojana (AMY)","Micro-finance support through selected NBFC-MFIs for eligible Scheduled Caste beneficiaries.","Ministry of Social Justice & Empowerment","concessional loan","NSFDC Financing","Scheduled Caste entrepreneurs","Micro Enterprise","Income Generating Activity","All India",All,NULL,NULL,0,500000.00,NULL,140000.00,90.00,NULL,125000.00,10.00,NULL,NULL,15.00,3.00,3,structured,0,0,1,"Financing up to 90% of project cost with a maximum loan of Rs. 1.25 lakh at 15% beneficiary interest.","Applicant must belong to the Scheduled Caste community and satisfy the applicable family-income ceiling.","Caste certificate, income proof, KYC documents and documents required by the implementing NBFC-MFI.",https://nsfdc.nic.in/faqs,active,2026-09-02
